GroupYSID,Quota,Signed
2001-1-1103-5035,29,30
2001-1-1103-5032,26,26
2001-1-1103-5028,26,26
2001-1-1103-5029,26,27
2001-1-1103-5030,24,24
2001-1-1103-5031,25,23
2001-1-1103-5036,25,22
2001-1-1103-5037,41,39
2001-1-1103-5038,24,22
2001-1-1103-5040,25,23
2001-1-1103-5039,31,31
2001-1-1103-5041,23,19
2001-1-1104-5044,23,21
2001-1-1104-5045,25,25
2001-1-1104-5046,27,28
2001-1-1104-5043,25,25
2001-1-1104-5047,26,26
2001-1-1104-5049,29,30
2001-1-1104-5048,30,34
2001-1-1104-5042,26,26
2001-1-1104-5055,23,19
2001-1-1104-5054,26,24
2001-1-1104-5050,28,25
2001-1-1104-5051,25,23
2001-1-1104-5052,32,30
2001-1-1104-5053,32,32
2001-1-1108-6000,41,41
2001-1-1108-6001,42,41
2001-1-1108-6002,42,41
2001-1-1108-6003,52,51
2001-1-1108-6004,46,44
2001-1-1108-6005,38,36
2001-1-1108-6006,31,29
2001-1-1108-6007,30,30
2001-1-1109-6011,40,39
2001-1-1109-6012,40,39
2001-1-1109-6008,41,41
2001-1-1109-6009,44,43
2001-1-1109-6010,47,45
2001-1-1109-6014,29,26
2001-1-1109-6015,32,32
2001-1-1109-6013,35,33
2001-1-1200-5058,8,8
2001-1-1200-5057,28,28
2001-1-1200-5059,24,24
2001-1-1201-5061,15,15
2001-1-1201-5060,21,21
2001-1-1201-5062,26,26
2001-1-1202-5064,10,10
2001-1-1202-5063,38,37
2001-1-1202-5065,11,10
2001-1-1202-5171,19,19
2001-1-1202-5172,14,14
2001-1-1203-5066,21,21
2001-1-1203-5067,32,32
2001-1-1203-5068,18,18
2001-1-1204-5070,10,11
2001-1-1204-5069,13,13
2001-1-1204-5071,14,14
2001-1-1208-6016,49,49
2001-1-1208-6017,8,9
2001-1-1209-6018,29,29
2001-1-1209-6036,26,26
2001-1-1209-6019,5,5
2001-1-1300-5073,22,22
2001-1-1300-5072,26,26
2001-1-1300-5075,26,26
2001-1-1300-5076,24,24
2001-1-1300-5074,28,28
2001-1-1300-5080,22,22
2001-1-1300-5079,28,28
2001-1-1300-5078,21,22
2001-1-1300-5077,11,11
2001-1-1301-5081,31,31
2001-1-1301-5082,29,29
2001-1-1301-5083,25,25
2001-1-1301-5085,28,28
2001-1-1301-5084,29,30
2001-1-1301-5086,32,31
2001-1-1301-5087,32,32
2001-1-1301-5089,13,13
2001-1-1301-5088,23,23
2001-1-1302-5091,30,30
2001-1-1302-5090,40,39
2001-1-1302-5093,18,17
2001-1-1302-5092,31,31
2001-1-1302-5094,28,28
2001-1-1302-5095,23,24
2001-1-1302-5096,29,29
2001-1-1302-5097,17,17
2001-1-1302-5098,11,11
2001-1-1303-5324,2,2
2001-1-1303-5100,31,31
2001-1-1303-5099,19,19
2001-1-1303-5101,21,22
2001-1-1303-5102,27,27
2001-1-1303-5103,31,31
2001-1-1303-5106,24,24
2001-1-1303-5107,25,25
2001-1-1303-5105,19,20
2001-1-1303-5104,26,26
2001-1-1304-5108,21,20
2001-1-1304-5109,31,31
2001-1-1304-5110,32,32
2001-1-1304-5112,34,35
2001-1-1304-5111,41,41
2001-1-1304-5114,25,25
2001-1-1304-5113,26,26
2001-1-1304-5115,26,27
2001-1-1308-6021,45,45
2001-1-1308-6022,40,40
2001-1-1308-6020,50,50
2001-1-1308-6023,10,10
2001-1-1308-6025,6,6
2001-1-1309-6037,21,21
2001-1-1309-6026,43,43
2001-1-1309-6027,29,29
2001-1-1309-6028,13,14
2001-1-1309-6029,8,8
2001-1-1400-5116,32,33
2001-1-1400-5311,36,36
2001-1-1400-5117,27,27
2001-1-1401-5118,32,32
2001-1-1401-5119,29,29
2001-1-1401-5120,28,29
2001-1-1402-5122,26,26
2001-1-1402-5121,26,26
2001-1-1402-5123,23,25
2001-1-1403-5126,29,29
2001-1-1403-5312,19,19
2001-1-1403-5124,28,29
2001-1-1403-5125,23,25
2001-1-1404-5129,36,36
2001-1-1404-5127,20,20
2001-1-1404-5128,26,27
2001-1-1404-5313,17,17
2001-1-1405-5130,27,28
2001-1-1405-5323,13,13
2001-1-1405-5132,29,29
