ID,Appointment,SimpAppointment
25210,Ayudante de Profesor de Asignatura ,Ayud
25215,Profesor de Asignatura ,PA
25260,Ayudante de Profesor de Asignatura ,Ayud
25262,Investigadora de Carrera Titular ,Inv
25283,Profesor de Asignatura ,PA
25292,Profesora de Asignatura ,PA
25317,Profesor de Asignatura ,PA
25363,Profesora de Asignatura ,PA
25423,Profesor de Carrera Titular ,PTC
25456,Profesor de Asignatura ,PA
25474,Profesor de Asignatura ,PA
25484,Profesora de Asignatura ,PA
25551,Ayudante de Profesora de Asignatura ,Ayud
25601,Ayudante de Profesora de Asignatura ,Ayud
25610,Ayudante de Profesor de Asignatura ,Ayud
25613,Profesor de Carrera Titular ,PTC
25620,Ayudante de Profesor de Asignatura ,Ayud
25627,Profesora de Asignatura ,PA
25673,Profesor de Carrera Titular ,PTC
25710,Profesor de Asignatura ,PA
25733,Profesor de Asignatura ,PA
25734,Profesora de Asignatura ,PA
25741,Profesor de Asignatura ,PA
25748,Ayudante de Profesor de Asignatura ,Ayud
25762,Ayudante de Profesor de Asignatura ,Ayud
25804,,ND
25835,Ayudante de Profesor de Asignatura ,Ayud
25872,Ayudante de Profesor de Asignatura ,Ayud
25878,Profesora de Asignatura ,PA
25884,Ayudante de Profesora de Asignatura ,Ayud
25898,Profesora de Asignatura ,PA
25916,Profesor de Carrera Titular ,PTC
25923,Ayudante de Profesor de Asignatura ,Ayud
25936,Profesor de Asignatura ,PA
25938,Ayudante de Profesor de Asignatura ,Ayud
25939,Ayudante de Profesora de Asignatura ,Ayud
25941,Ayudante de Profesor de Asignatura ,Ayud
25949,Ayudante de Profesor de Asignatura ,Ayud
25952,Ayudante de Profesora de Asignatura ,Ayud
25968,Profesor de Asignatura ,PA
25987,Ayudante de Profesora de Asignatura ,Ayud
25991,Profesor de Asignatura ,PA
26003,Ayudante de Profesor de Asignatura ,Ayud
26005,Profesor de Asignatura ,PA
26017,Técnico Académico Asociado ,Tec
26039,Profesora de Asignatura ,PA
26042,Profesora de Asignatura ,PA
26044,Profesor de Asignatura ,PA
26066,Profesor de Asignatura ,PA
26067,Ayudante de Profesora de Asignatura ,Ayud
26069,Ayudante de Profesor de Asignatura ,Ayud
26080,Profesor de Asignatura ,PA
26082,Profesora de Asignatura ,PA
26086,Profesora de Asignatura ,PA
26090,Ayudante de Profesor de Asignatura ,Ayud
26100,Profesora de Asignatura ,PA
26108,Profesor de Asignatura ,PA
26118,Ayudante de Profesor de Asignatura ,Ayud
26120,Profesora de Asignatura ,PA
26124,Profesora de Asignatura ,PA
26179,Profesora de Asignatura ,PA
26193,Investigador de Carrera Titular ,Inv
26195,Ayudante de Profesora de Asignatura ,Ayud
26196,Profesora de Asignatura ,PA
26219,Profesor de Asignatura ,PA
26222,Ayudante de Profesor de Asignatura ,Ayud
26276,Ayudante de Profesor de Asignatura ,Ayud
26360,Investigador de Carrera Titular ,Inv
26364,Profesor de Asignatura ,PA
26394,Ayudante de Profesor de Asignatura ,Ayud
26415,Profesor de Asignatura ,PA
26422,Ayudante de Profesor de Asignatura ,Ayud
26434,Profesor de Asignatura ,PA
26445,Ayudante de Profesor de Asignatura ,Ayud
26456,Ayudante de Profesor de Asignatura ,Ayud
26471,Ayudante de Profesora de Asignatura ,Ayud
26487,Ayudante de Profesora de Asignatura ,Ayud
26498,Profesor de Asignatura ,PA
26521,Profesora de Asignatura ,PA
26546,Profesor de Asignatura ,PA
26581,Técnica Académica Titular ,Tec
26582,Ayudante de Profesora de Asignatura ,Ayud
26603,Profesora de Asignatura ,PA
26604,Ayudante de Profesora de Asignatura ,Ayud
26614,Profesora de Asignatura ,PA
26629,Ayudante de Profesora de Asignatura ,Ayud
26630,Profesor de Asignatura ,PA
26635,Ayudante de Profesor de Asignatura ,Ayud
26636,Ayudante de Profesora de Asignatura ,Ayud
26638,Profesor de Asignatura ,PA
26681,Ayudante de Profesora de Asignatura ,Ayud
26697,Profesor de Asignatura ,PA
26730,Ayudante de Profesor de Asignatura ,Ayud
26754,Profesora de Asignatura ,PA
26759,Ayudante de Profesora de Asignatura ,Ayud
26764,Profesor de Asignatura ,PA
26766,Ayudante de Profesora de Asignatura ,Ayud
26779,Ayudante de Profesor de Asignatura ,Ayud
26788,Investigador de Carrera Asociado ,Inv
26806,Ayudante de Profesora de Asignatura ,Ayud
26823,Ayudante de Profesora de Asignatura ,Ayud
26830,Profesor de Asignatura ,PA
26834,Ayudante de Profesor de Asignatura ,Ayud
26837,Profesor de Asignatura ,PA
26897,Ayudante de Profesor de Asignatura ,Ayud
26908,Ayudante de Profesora de Asignatura ,Ayud
26909,Técnico Académico Asociado ,Tec
26920,Profesor de Asignatura ,PA
26927,Ayudante de Profesora de Asignatura ,Ayud
26928,Profesora de Asignatura ,PA
26948,Profesor de Asignatura ,PA
26957,Profesor de Asignatura ,PA
26971,Profesor de Asignatura ,PA
26972,Profesora de Asignatura ,PA
26980,Ayudante de Profesora de Asignatura ,Ayud
26983,Ayudante de Profesora de Asignatura ,Ayud
26986,Profesor de Asignatura ,PA
26994,Profesora de Asignatura ,PA
27001,Ayudante de Profesor de Asignatura ,Ayud
27018,Profesora de Asignatura ,PA
27035,Profesor de Asignatura ,PA
27042,Profesor de Asignatura ,PA
27046,Profesora de Asignatura ,PA
27057,Profesor de Asignatura ,PA
27058,Profesor de Asignatura ,PA
27062,Profesor de Asignatura ,PA
27068,Ayudante de Profesor de Asignatura ,Ayud
27069,Profesora de Asignatura ,PA
27074,Profesora de Asignatura ,PA
27077,Ayudante de Profesora de Asignatura ,Ayud
27100,Ayudante de Profesora de Asignatura ,Ayud
27136,Ayudante de Profesor de Asignatura ,Ayud
27154,Profesor de Asignatura ,PA
27162,Ayudante de Profesor de Asignatura ,Ayud
27173,Ayudante de Profesor de Asignatura ,Ayud
27176,Profesora de Asignatura ,PA
27199,Ayudante de Profesora de Asignatura ,Ayud
27232,Profesor de Asignatura ,PA
27250,Investigador de Carrera Titular ,Inv
27295,Ayudante de Profesora de Asignatura ,Ayud
27298,Profesor de Asignatura ,PA
27300,Ayudante de Profesor de Asignatura ,Ayud
27303,Técnica Académica Titular ,Tec
27319,Profesora de Asignatura ,PA
27322,Profesora de Asignatura ,PA
27406,Investigadora de Carrera Titular ,Inv
27416,Profesora de Asignatura ,PA
27430,Profesora de Asignatura ,PA
27468,Profesor de Asignatura ,PA
27472,Ayudante de Profesora de Asignatura ,Ayud
27479,Ayudante de Profesor de Asignatura ,Ayud
27520,Profesor de Asignatura ,PA
27524,Profesor de Asignatura ,PA
27543,Técnico Académico Titular ,Tec
27544,Profesora de Asignatura ,PA
27591,Profesor de Asignatura ,PA
27619,Profesor de Asignatura ,PA
27660,Ayudante de Profesor de Asignatura ,Ayud
27684,Ayudante de Profesor de Asignatura ,Ayud
27693,Ayudante de Profesora de Asignatura ,Ayud
27701,Ayudante de Profesora de Asignatura ,Ayud
27705,Ayudante de Profesor de Asignatura ,Ayud
27719,Profesor de Asignatura ,PA
27721,Ayudante de Profesora de Asignatura ,Ayud
27749,Ayudante de Profesora de Asignatura ,Ayud
27770,Profesor de Asignatura ,PA
27773,Profesora de Asignatura ,PA
27777,Ayudante de Profesor de Asignatura ,Ayud
27796,Profesor de Asignatura ,PA
27801,Ayudante de Profesor de Asignatura ,Ayud
27809,Profesora de Asignatura ,PA
27822,Ayudante de Profesor de Asignatura ,Ayud
27840,Profesor de Asignatura ,PA
