ID,CourseName
767,Topología III
768,Técnicas de Radioisotopos
771,Realidad Virtual
772,Reconocimiento de Patrones
773,Reconocimiento de Patrones y Aprendizaje Automatizado
774,Recuperación y Búsqueda de Información en Textos
777,Teoría de los Números II
779,Teoría de los Conjuntos II
780,Chino
781,Redes Neuronales
782,Riesgo Tecnológico
783,Seminario de Ciencias de la Computación A
784,Seminario de Ciencias de la Computación B
785,Sistemas de Información Geográfica
786,Sistemas Dinámicos Computacionales I
790,Tecnologías para Desarrollos en Internet
791,Teoría de Códigos
794,Visión Por Computadora
795,Seminario de Biología I
796,Seminario de Biología II
797,Seminario de Biología III
798,Seminario de Biología IV
799,Temas Selectos de Biología I
800,Redes Neuronales y Autómatas Celulares
801,Análisis de Algoritmos II
803,Graficación por Computadoras
804,Herramientas de Computación para las Ciencias
805,Proceso Digital de Imagenes
806,Procesos Paralelos y Distribuidos
807,Simulación
808,Supercómputo
809,Visualización
810,Seminario de Temas Selectos de Computación
811,Lógicas no Clásicas
813,Programación Funcional y Lógica
814,Semántica y Verificación
815,Teoría de Códigos
816,Algoritmos Genéticos
817,Compiladores
819,Lingüística Computacional
820,Robótica
821,Sistemas Expertos
822,Diseño de interfaces
823,Diseño y Programación Orientada a Objetos
824,Grandes Bases de Datos
825,Seminario de Aplicaciones de Cómputo
826,Sistemas Manejadores de Bases de Datos
827,Dinámica de Medios Deformables
828,Física Atómica y Materia Condensada
829,Física Estadística
830,Laboratorio de Física Contemporánea I
831,Temas Selectos de Biología II
832,Temas Selectos de Biología III
834,Temas Selectos de Biología IV
835,Química Ambiental de Suelos
836,Química Analítica Instrumental
837,Química de la Atmósfera
838,Álgebra Matricial Numérica
840,Variable Compleja I
841,Variable Compleja II
842,Variable Compleja III
843,Virologia
845,Radiobiología
846,Reconstrucción de Imágenes Biomédicas
847,Las Relaciones Interpersonales en el Ambiente Hospitalario
848,Temas Selectos en Biofísica
849,Temas Selectos en Biomatemáticas
850,Temas Selectos en Cómputo de Alto Desempeño
851,Temas Selectos en Física Biológica
852,Temas Selectos en Instrumentación Biomédica
853,Temas Selectos en Física de la Terapia Médica
